Country name,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Mozambique,4.654,7.162,0.738,54.2,0.897,0.64,0.397
Myanmar,4.411,8.523,0.774,59,0.906,0.777,0.3
Namibia,4.834,9.204,0.864,56.5,0.754,0.739,0.24
Nepal,4.91,8.087,0.768,63.5,0.77,0.537,0.387
Netherlands,7.463,10.941,0.939,72.3,0.92,0.862,0.205
New Zealand,7.37,10.66,0.954,73.2,0.949,0.845,0.168
Nicaragua,5.819,8.647,0.854,67.5,0.797,0.793,0.408
Niger,5.164,7.087,0.612,53.5,0.791,0.771,0.503
Nigeria,5.252,8.548,0.741,49.7,0.79,0.805,0.256
North Cyprus,5.608,,0.837,,0.797,0.48,0.262
North Macedonia,5.24,9.677,0.849,65.389,0.745,0.59,0.298
Norway,7.444,11.056,0.966,73.2,0.96,0.827,0.212
Pakistan,5.472,8.464,0.685,58.5,0.773,0.567,0.377
Palestinian Territories,4.554,,0.819,,0.655,0.61,0.419
Panama,6.281,10.343,0.904,69.6,0.861,0.884,0.223
Peru,5.68,9.456,0.845,68.1,0.83,0.809,0.38
Philippines,5.869,9.05,0.846,61.9,0.918,0.773,0.393
Poland,6.111,10.366,0.863,69.3,0.87,0.742,0.176
Portugal,5.92,10.434,0.887,72.4,0.877,0.679,0.318
Romania,6.151,10.26,0.818,67.2,0.845,0.735,0.298
Russia,5.514,10.191,0.909,64.3,0.729,0.673,0.199
Rwanda,3.561,7.644,0.616,61.1,0.924,0.793,0.308
Saudi Arabia,6.356,10.771,0.868,66.3,0.855,0.764,0.288
Senegal,4.769,8.106,0.739,59.6,0.629,0.714,0.247
Serbia,5.936,9.762,0.853,68.2,0.74,0.559,0.296
Sierra Leone,4.306,7.417,0.65,50.8,0.716,0.552,0.466
Singapore,6.375,11.49,0.903,76.8,0.916,0.787,0.107
Slovakia,6.235,10.376,0.922,68.9,0.758,0.754,0.253
Slovenia,6.249,10.546,0.941,71.1,0.942,0.644,0.275
South Africa,4.884,9.444,0.841,56.5,0.753,0.812,0.283
South Korea,5.84,10.643,0.798,73.6,0.6,0.661,0.217
Spain,6.513,10.605,0.91,74.4,0.722,0.659,0.357
Sri Lanka,4.435,9.462,0.833,67.2,0.859,0.831,0.302
Swaziland,4.212,9.06,0.779,50.353,0.71,0.824,0.252
Sweden,7.375,10.881,0.931,72.6,0.942,0.823,0.161
Switzerland,7.509,11.134,0.93,74.1,0.926,0.792,0.192
Taiwan Province of China,6.467,,0.896,,0.741,0.848,0.093
Tajikistan,5.497,8.082,0.875,64.1,,0.695,0.22
Tanzania,3.445,7.859,0.675,57.5,0.807,0.762,0.221
Thailand,6.012,9.803,0.873,67.2,0.905,0.843,0.198
Togo,4.023,7.348,0.596,54.7,0.612,0.608,0.446
Tunisia,4.741,9.284,0.733,66.9,0.65,0.592,0.365
Turkey,5.186,10.251,0.847,66.8,0.529,0.435,0.351
Turkmenistan,4.621,9.605,0.984,62.2,0.858,0.612,0.189
Uganda,4.322,7.66,0.74,55.7,0.729,0.685,0.39
Ukraine,4.662,9.42,0.901,64.6,0.663,0.609,0.222
United Arab Emirates,6.604,11.112,0.851,67.1,0.944,0.787,0.302
United Kingdom,7.233,10.743,0.928,72.3,0.838,0.783,0.228
United States,6.883,11.025,0.904,68.3,0.825,0.815,0.292
Uruguay,6.372,9.98,0.917,69,0.876,0.877,0.275
Uzbekistan,6.205,8.818,0.921,65.1,0.97,0.825,0.209
Venezuela,5.006,,0.887,66.5,0.611,0.759,0.374
Vietnam,5.296,8.934,0.832,67.9,0.909,0.692,0.191
Yemen,3.058,,0.789,56.7,0.553,0.461,0.315
Zambia,4.041,8.167,0.718,55.3,0.791,0.703,0.351
Zimbabwe,3.616,8.049,0.775,55.6,0.763,0.71,0.212
